City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,masally,39.0,48.6667,13.96,61,5,1.48,AZ,2024-04-24
247,northam,51.0333,-4.2167,8.12,85,5,4.6,GB,2024-04-24
248,hutchinson,38.0608,-97.9298,15.97,31,0,3.6,US,2024-04-24
249,aki,33.5,133.9,18.97,95,100,1.23,JP,2024-04-24
250,lulea,65.5842,22.1547,-1.96,100,100,2.06,SE,2024-04-24
251,tura,25.5198,90.2201,33.66,26,5,3.45,IN,2024-04-24
252,palu,-0.8917,119.8707,31.62,71,92,1.56,ID,2024-04-24
253,santa marta,11.2408,-74.199,28.83,75,100,9.83,CO,2024-04-24
254,yuzhno-kurilsk,44.0306,145.8556,2.43,97,100,4.89,RU,2024-04-24
255,okhotsk,59.3833,143.3,-0.52,92,98,1.17,RU,2024-04-24
256,kingston,17.997,-76.7936,28.53,74,20,3.09,JM,2024-04-24
257,fort st. john,56.2499,-120.8529,11.94,28,75,3.09,CA,2024-04-24
258,yacuiba,-22.038,-63.6797,25.3,76,100,1.53,BO,2024-04-24
259,kittila,67.6647,24.8936,1.08,93,100,3.09,FI,2024-04-24
260,weno,7.4515,151.8468,31.97,79,100,4.12,FM,2024-04-24
261,janoshalma,46.2986,19.3258,10.81,98,100,1.51,HU,2024-04-24
262,kilindoni,-7.9139,39.6668,26.55,85,100,4.8,TZ,2024-04-24
263,adrar,20.5022,-10.0711,25.3,18,0,4.45,MR,2024-04-24
264,taltal,-25.4,-70.4833,19.0,78,10,2.18,CL,2024-04-24
265,luderitz,-26.6481,15.1594,15.93,81,8,5.6,NA,2024-04-24
266,lae,-6.7221,146.9847,34.37,64,99,3.74,PG,2024-04-24
267,paracuru,-3.41,-39.0306,26.73,90,99,2.35,BR,2024-04-24
268,port douglas,-16.4833,145.4667,26.49,80,96,6.74,AU,2024-04-24
269,carnarvon,-24.8667,113.6333,29.21,32,0,8.87,AU,2024-04-24
270,beipiao,41.7919,120.7792,18.22,43,3,5.99,CN,2024-04-24
271,ribeiropolis,-10.5394,-37.4167,22.85,93,100,1.0,BR,2024-04-24
272,eyl,7.9803,49.8164,28.33,79,83,1.66,SO,2024-04-24
273,golere,16.2557,-14.1017,27.21,27,3,5.55,SN,2024-04-24
274,paros,37.0833,25.15,19.24,94,100,7.72,GR,2024-04-24
275,valparaiso,-33.0393,-71.6273,10.8,87,0,1.54,CL,2024-04-24
276,khandyga,62.6667,135.6,6.15,88,100,3.55,RU,2024-04-24
277,pisco,-13.7,-76.2167,20.03,88,0,4.63,PE,2024-04-24
278,mbanza-ngungu,-5.25,14.8667,20.6,99,100,1.33,CD,2024-04-24
279,melfort,52.8667,-104.6177,9.07,43,8,3.09,CA,2024-04-24
280,qaqortoq,60.7167,-46.0333,-0.03,99,100,2.73,GL,2024-04-24
281,vila franca do campo,37.7167,-25.4333,18.27,99,71,4.22,PT,2024-04-24
282,enriquillo,17.9,-71.2333,24.5,88,100,2.44,DO,2024-04-24
283,dhidhdhoo,6.8833,73.1,29.3,70,44,1.75,MV,2024-04-24
284,nadvoitsy,63.8667,34.3167,-1.51,98,67,0.9,RU,2024-04-24
285,afif,23.9065,42.9172,21.42,19,0,2.81,SA,2024-04-24
286,geraldton,-28.7667,114.6,25.23,29,98,14.4,AU,2024-04-24
287,cangas del narcea,43.1833,-6.55,8.09,94,54,1.3,ES,2024-04-24
288,lakatoro,-16.0999,167.4164,29.79,74,55,2.65,VU,2024-04-24
289,yerofey pavlovich,53.9667,121.9667,10.47,56,94,0.06,RU,2024-04-24
290,shalkar,47.8288,59.6258,19.72,39,81,1.52,KZ,2024-04-24
291,arraial do cabo,-22.9661,-42.0278,23.9,90,2,5.6,BR,2024-04-24
292,dunedin,-45.8742,170.5036,14.33,76,99,0.89,NZ,2024-04-24
293,contamana,-7.3333,-75.0167,22.91,95,99,1.03,PE,2024-04-24
294,abbeville,50.1,1.8333,6.98,89,80,3.54,FR,2024-04-24
295,san gabriel,34.0961,-118.1058,17.12,69,0,1.54,US,2024-04-24
296,talnakh,69.4865,88.3972,-11.0,78,32,0.78,RU,2024-04-24
297,yendi,9.4427,-0.0099,29.05,66,100,2.29,GH,2024-04-24
298,hami,42.8,93.45,22.5,17,70,4.55,CN,2024-04-24
299,selfoss,63.9331,-20.9971,5.02,72,73,1.81,IS,2024-04-24
